# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressureFluid_x pressureFluid_y pressureFluid_z)	(pressureParticle_x pressureParticle_y pressureParticle_z)	(viscous_x viscous_y viscous_z)
1.28378        	(3.7936291e-06 1.0839096e-09 9.9270774e-06)	(3.7936291e-06 1.0839096e-09 9.9270774e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28475        	(3.7483551e-06 9.7702665e-10 9.8080524e-06)	(3.7483551e-06 9.7702665e-10 9.8080524e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28573        	(3.7824821e-06 1.0274322e-10 9.8808584e-06)	(3.7824821e-06 1.0274322e-10 9.8808584e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28671        	(3.7475679e-06 8.0206676e-10 9.8051449e-06)	(3.7475679e-06 8.0206676e-10 9.8051449e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28767        	(3.7602242e-06 1.2174355e-09 9.8479262e-06)	(3.7602242e-06 1.2174355e-09 9.8479262e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28864        	(3.7541605e-06 7.9266481e-10 9.8248306e-06)	(3.7541605e-06 7.9266481e-10 9.8248306e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28961        	(3.7613109e-06 -9.2455160e-10 9.8101591e-06)	(3.7613109e-06 -9.2455160e-10 9.8101591e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29058        	(3.7511173e-06 -1.5519147e-09 9.7721791e-06)	(3.7511173e-06 -1.5519147e-09 9.7721791e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29155        	(3.7568167e-06 -9.5754022e-10 9.8004016e-06)	(3.7568167e-06 -9.5754022e-10 9.8004016e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29252        	(3.7464327e-06 -1.8243506e-09 9.7570809e-06)	(3.7464327e-06 -1.8243506e-09 9.7570809e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29349        	(3.7647040e-06 -5.9128296e-10 9.8310739e-06)	(3.7647040e-06 -5.9128296e-10 9.8310739e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29447        	(3.7301254e-06 -1.2133337e-09 9.7294358e-06)	(3.7301254e-06 -1.2133337e-09 9.7294358e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29545        	(3.7479239e-06 1.4756688e-10 9.8047696e-06)	(3.7479239e-06 1.4756688e-10 9.8047696e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29642        	(3.7277057e-06 7.0909711e-10 9.7645440e-06)	(3.7277057e-06 7.0909711e-10 9.7645440e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.2974         	(3.7408483e-06 -6.4058494e-10 9.7730150e-06)	(3.7408483e-06 -6.4058494e-10 9.7730150e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29837        	(3.7072277e-06 -3.6960519e-10 9.6918329e-06)	(3.7072277e-06 -3.6960519e-10 9.6918329e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29934        	(3.7446980e-06 -7.7335252e-10 9.7830389e-06)	(3.7446980e-06 -7.7335252e-10 9.7830389e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.3003         	(3.7170958e-06 -2.9918310e-10 9.7216818e-06)	(3.7170958e-06 -2.9918310e-10 9.7216818e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30127        	(3.7411814e-06 -1.1660381e-09 9.7685483e-06)	(3.7411814e-06 -1.1660381e-09 9.7685483e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30224        	(3.7164505e-06 -2.1848610e-10 9.7242305e-06)	(3.7164505e-06 -2.1848610e-10 9.7242305e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30321        	(3.7336917e-06 -5.7767520e-10 9.7634336e-06)	(3.7336917e-06 -5.7767520e-10 9.7634336e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30418        	(3.7150962e-06 -1.2032971e-09 9.7034448e-06)	(3.7150962e-06 -1.2032971e-09 9.7034448e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30514        	(3.7302071e-06 -1.4046956e-09 9.7402660e-06)	(3.7302071e-06 -1.4046956e-09 9.7402660e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30611        	(3.7124203e-06 -1.3707127e-09 9.6956801e-06)	(3.7124203e-06 -1.3707127e-09 9.6956801e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
