# z phi vxP vxF T
2.763019693654266903e-02 6.272522416689992886e-01 6.208786262864366388e-05 4.975971697653824508e-03 2.271523459905944355e-06
2.783041575492341269e-02 6.263927737170847942e-01 6.435862955256877707e-05 2.877598283384872734e-03 2.318140153695537032e-06
2.803063457330415634e-02 6.252440620705473906e-01 6.674989078655834763e-05 1.490775281278562247e-03 2.366713168925260727e-06
2.823085339168489999e-02 6.239047207669586870e-01 6.928068255989872537e-05 7.718934582478629994e-04 2.417336517252765150e-06
2.843107221006564364e-02 6.226302109592534162e-01 7.194893240531407348e-05 5.301013216630805561e-04 2.469900980542926536e-06
2.863129102844638729e-02 6.214516716350877434e-01 7.475504982907605787e-05 6.715706641644794044e-04 2.524299416081840023e-06
2.883150984682713441e-02 6.203238102287107480e-01 7.772586716196664205e-05 1.639713665201228843e-03 2.580778687632399252e-06
2.903172866520787807e-02 6.192353353385171566e-01 8.087460860743145850e-05 4.631776340431210774e-03 2.639778723459962731e-06
2.923194748358862172e-02 6.182642717517599085e-01 8.417069328697379812e-05 9.554070538855392175e-03 2.700953118573238054e-06
2.943216630196936537e-02 6.174850863583565275e-01 8.762554250138081561e-05 1.525603606925869660e-02 2.763863204711698950e-06
2.963238512035010902e-02 6.169752585938210743e-01 9.123703475638760842e-05 2.022448179661161596e-02 2.828289313807940443e-06
2.983260393873085267e-02 6.167561569512953756e-01 9.501944058856185620e-05 2.324924175633084206e-02 2.894315278114056496e-06
3.003282275711159632e-02 6.167079487897565437e-01 9.900028907216417611e-05 2.343165413501206717e-02 2.962176117858202204e-06
3.023304157549233998e-02 6.168522590115894655e-01 1.031561365668873557e-04 2.073500019642458836e-02 3.032046453329819165e-06
3.043326039387308363e-02 6.172115979489258830e-01 1.074920273341155687e-04 1.607697682490550825e-02 3.103810196830379824e-06
3.063347921225382728e-02 6.177172515198532388e-01 1.120128985122835214e-04 1.085351713628735469e-02 3.177246595053373646e-06
3.083369803063457093e-02 6.183403428645096733e-01 1.167307834061455531e-04 6.597876093446800559e-03 3.252407590255387406e-06
3.103391684901531805e-02 6.190192199226300929e-01 1.216482980331645383e-04 3.814527622103222083e-03 3.329609228336495141e-06
3.123413566739606170e-02 6.197997126829613013e-01 1.267187359716885153e-04 2.007123367863031249e-03 3.408925447995080086e-06
3.143435448577680535e-02 6.206532201483491162e-01 1.319841733574306805e-04 1.089813343714771078e-03 3.490194205763496124e-06
3.163457330415754554e-02 6.214776774438581786e-01 1.374514354245878203e-04 7.668089705369468241e-04 3.573402739893675920e-06
3.183479212253829266e-02 6.222523302285519753e-01 1.430705206681180469e-04 8.021817879797652146e-04 3.658589424087232715e-06
3.203501094091903978e-02 6.229186360382868992e-01 1.488536709803358607e-04 1.395903846727963122e-03 3.745928982852759200e-06
3.223522975929977996e-02 6.234489714120029502e-01 1.548182998369056370e-04 3.272093543592626864e-03 3.835476590160997196e-06
3.243544857768052708e-02 6.238117831755944920e-01 1.609626965289331717e-04 7.065087382698642150e-03 3.927509921998206279e-06
3.263566739606126726e-02 6.240131201285072926e-01 1.673662015957365064e-04 1.200954597562600527e-02 4.022371493018209145e-06
3.283588621444201439e-02 6.240083611317991386e-01 1.740040835487361901e-04 1.707633396457680641e-02 4.120011818686489534e-06
3.303610503282275457e-02 6.237992581680380511e-01 1.808879664583212951e-04 2.084432615493970672e-02 4.220457598164230586e-06
3.323632385120350169e-02 6.233559273787261379e-01 1.880912444288272613e-04 2.214554431733283674e-02 4.324421914095732645e-06
3.343654266958424187e-02 6.227043141385661951e-01 1.956417902011591242e-04 2.057305355842107761e-02 4.432347626339511636e-06
3.363676148796498899e-02 6.219070071026543411e-01 2.036042734536346250e-04 1.667995144639183164e-02 4.544864978764282175e-06
3.383698030634572917e-02 6.210145049418573926e-01 2.119744111158717063e-04 1.177345934565482075e-02 4.662551422989015377e-06
3.403719912472647630e-02 6.201432866175997649e-01 2.207592318872606191e-04 7.315741313534527938e-03 4.785167380656939469e-06
3.423741794310722342e-02 6.193297650936795407e-01 2.299864478825973868e-04 4.192591333567813848e-03 4.912758578482036375e-06
3.443763676148796360e-02 6.186031733539377742e-01 2.396514944014629521e-04 2.301513403828880314e-03 5.045028998256260849e-06
3.463785557986871072e-02 6.179556009813621520e-01 2.497668630793341911e-04 1.443230501433212867e-03 5.182176887462267202e-06
3.483807439824945090e-02 6.174059984354824948e-01 2.603050645410722027e-04 1.053393355485939204e-03 5.324048955769963960e-06
3.503829321663019802e-02 6.170137672415033636e-01 2.712626175345540162e-04 9.800149469108383402e-04 5.470585515700377506e-06
3.523851203501093821e-02 6.167626372826755521e-01 2.826455576341293987e-04 1.438320925795675675e-03 5.621958560700167752e-06
3.543873085339168533e-02 6.166235876579717612e-01 2.944563475868632236e-04 3.192123288869909599e-03 5.778122058955204105e-06
3.563894967177242551e-02 6.165977911110810394e-01 3.068099973238993649e-04 6.780252179884220867e-03 5.939477168259166487e-06
3.583916849015317263e-02 6.166305040039016250e-01 3.197090641003128377e-04 1.174754311411556340e-02 6.106431172139051989e-06
3.603938730853391281e-02 6.167126644715913431e-01 3.331944728916733382e-04 1.723558253173906180e-02 6.279353321390230560e-06
3.623960612691465993e-02 6.168769253745834957e-01 3.472340303817210948e-04 2.172327569771106970e-02 6.457852954198452040e-06
3.643982494529540705e-02 6.171194334712356566e-01 3.618754732483142893e-04 2.370815780813341142e-02 6.641769501383186580e-06
3.664004376367614724e-02 6.174096258669825588e-01 3.771490760286899798e-04 2.254356621803994473e-02 6.831312963146296823e-06
3.684026258205689436e-02 6.177458764099770239e-01 3.930190206576418695e-04 1.860941638395208556e-02 7.026561157839881670e-06
3.704048140043763454e-02 6.181298295788572039e-01 4.094644163625997882e-04 1.327984885074934805e-02 7.227750109492945895e-06
3.724070021881838166e-02 6.185279109832360067e-01 4.264151601274468136e-04 8.309452911615874959e-03 7.435003783236586285e-06
3.744091903719912184e-02 6.188958100288499686e-01 4.439331488383171389e-04 4.837924808782766845e-03 7.648156414409826268e-06
3.764113785557986896e-02 6.191685351001878779e-01 4.621046607206018395e-04 2.735522713916989108e-03 7.867875892344710105e-06
3.784135667396060915e-02 6.192922413407183635e-01 4.809473003232977669e-04 1.911621325460562430e-03 8.094969724451555245e-06
3.804157549234135627e-02 6.192564282071449933e-01 5.005908376332933235e-04 1.591653712252289864e-03 8.330709352000681612e-06
3.824179431072209645e-02 6.190662176645286285e-01 5.211659275557932154e-04 1.365969733860897045e-03 8.575635692656586890e-06
3.844201312910284357e-02 6.187187752077836222e-01 5.427172733302520558e-04 1.383501855012238399e-03 8.831048774345474168e-06
3.864223194748359069e-02 6.182617599251545304e-01 5.653402967708893350e-04 2.275617506944067198e-03 9.097406307513509102e-06
3.884245076586433087e-02 6.176919524062156608e-01 5.890112029302549184e-04 5.221362631390211173e-03 9.375165212926729486e-06
3.904266958424507800e-02 6.170456363249653409e-01 6.138366700165645649e-04 1.007754788392707657e-02 9.665549818990769481e-06
3.924288840262581818e-02 6.163820195039445560e-01 6.399062347403526802e-04 1.603549342513064038e-02 9.968998967949302788e-06
3.944310722100656530e-02 6.157667580973128496e-01 6.671972044302298130e-04 2.146436303644830637e-02 1.028498923340474369e-05
3.964332603938730548e-02 6.152283798979910623e-01 6.957639273714429431e-04 2.465611727671935746e-02 1.061368688679543825e-05
3.984354485776805260e-02 6.148048063521478479e-01 7.256400135661862042e-04 2.458847209690509864e-02 1.095557684267210650e-05
4.004376367614879279e-02 6.144875824785331897e-01 7.568256342818062551e-04 2.132489609474215453e-02 1.131020982343121293e-05
4.024398249452953991e-02 6.142586494752708681e-01 7.893447158248616084e-04 1.596726465283732077e-02 1.167785364893136188e-05
4.044420131291028009e-02 6.140774417743343205e-01 8.232764885559110688e-04 1.024845819684070368e-02 1.205907362794688842e-05
4.064442013129102721e-02 6.139234246082617696e-01 8.587138502525402386e-04 5.979920578079209181e-03 1.245533222897332599e-05
4.084463894967177433e-02 6.137768744437827051e-01 8.956304402904869191e-04 3.469543520781606487e-03 1.286688363029515511e-05
