#j        y/delta             y+         u_mean         v_mean         w_mean   omega_x_mean   omega_y_mean   omega_z_mean         p_mean
108   0.359304E+00   0.230867E+03   0.187387E+02   0.342221E-18  -0.709461E-03   0.191884E-04   0.467760E-20  -0.129368E-01  -0.897965E+00
109   0.365607E+00   0.234917E+03   0.187907E+02  -0.852814E-18  -0.664865E-03   0.320488E-05   0.103236E-20  -0.127776E-01  -0.891020E+00
110   0.371952E+00   0.238994E+03   0.188425E+02  -0.382079E-18  -0.679742E-03  -0.996790E-05   0.385283E-20  -0.126222E-01  -0.883999E+00
111   0.378339E+00   0.243098E+03   0.188940E+02  -0.169178E-18  -0.742831E-03  -0.203780E-04   0.692715E-20  -0.124704E-01  -0.876905E+00
112   0.384768E+00   0.247229E+03   0.189452E+02   0.721380E-18  -0.845073E-03  -0.288284E-04  -0.784713E-21  -0.123218E-01  -0.869744E+00
113   0.391239E+00   0.251386E+03   0.189961E+02   0.229336E-18  -0.979305E-03  -0.353551E-04  -0.459006E-20  -0.121749E-01  -0.862521E+00
114   0.397749E+00   0.255570E+03   0.190468E+02  -0.253987E-18  -0.113605E-02  -0.390368E-04  -0.912551E-21  -0.120302E-01  -0.855240E+00
115   0.404301E+00   0.259779E+03   0.190971E+02  -0.777762E-19  -0.130315E-02  -0.400878E-04  -0.747889E-20  -0.118900E-01  -0.847905E+00
116   0.410892E+00   0.264014E+03   0.191472E+02   0.122166E-18  -0.147455E-02  -0.410745E-04  -0.464716E-20  -0.117552E-01  -0.840517E+00
117   0.417522E+00   0.268275E+03   0.191970E+02  -0.162472E-18  -0.165428E-02  -0.434419E-04  -0.726454E-20  -0.116246E-01  -0.833076E+00
118   0.424192E+00   0.272560E+03   0.192465E+02  -0.313363E-18  -0.184511E-02  -0.453063E-04   0.345422E-20  -0.114957E-01  -0.825576E+00
119   0.430900E+00   0.276870E+03   0.192958E+02   0.464241E-18  -0.204008E-02  -0.447014E-04  -0.899764E-20  -0.113655E-01  -0.818013E+00
120   0.437646E+00   0.281205E+03   0.193448E+02  -0.758521E-19  -0.222753E-02  -0.413103E-04   0.977113E-21  -0.112327E-01  -0.810385E+00
121   0.444430E+00   0.285564E+03   0.193934E+02  -0.217734E-18  -0.239445E-02  -0.346898E-04  -0.418033E-20  -0.110969E-01  -0.802693E+00
122   0.451251E+00   0.289947E+03   0.194418E+02  -0.909590E-18  -0.252560E-02  -0.246939E-04   0.121971E-20  -0.109573E-01  -0.794939E+00
123   0.458108E+00   0.294353E+03   0.194897E+02  -0.735473E-18  -0.260892E-02  -0.130940E-04  -0.563170E-20  -0.108149E-01  -0.787129E+00
124   0.465002E+00   0.298783E+03   0.195373E+02  -0.142145E-18  -0.264252E-02  -0.238182E-05  -0.165573E-20  -0.106726E-01  -0.779280E+00
125   0.471932E+00   0.303235E+03   0.195845E+02   0.724297E-18  -0.263293E-02   0.635679E-05   0.447459E-20  -0.105317E-01  -0.771412E+00
126   0.478897E+00   0.307711E+03   0.196314E+02   0.333739E-18  -0.258819E-02   0.133504E-04  -0.767472E-20  -0.103923E-01  -0.763545E+00
127   0.485897E+00   0.312208E+03   0.196778E+02   0.252012E-18  -0.251644E-02   0.179974E-04  -0.585339E-20  -0.102563E-01  -0.755692E+00
128   0.492932E+00   0.316728E+03   0.197238E+02  -0.208670E-18  -0.243288E-02   0.180063E-04  -0.515289E-20  -0.101258E-01  -0.747856E+00
129   0.500000E+00   0.321270E+03   0.197695E+02   0.125180E-18  -0.236255E-02   0.120279E-04  -0.301360E-20  -0.100006E-01  -0.740035E+00
